Cluster,Biden Votes Weighted,Trump Votes Weighted
0,314325.2670509184,196844.85966791702
1,106353.56885600925,255946.846789465
2,178323.62692000487,210279.30998268354
3,180132.5345666016,205589.71033004182
4,154383.14215870478,161160.9724148451
5,215956.53713637075,182683.288854187
6,164720.99784639405,208180.8457461435
7,172960.7134388314,195408.3431962801
8,150285.43008144523,209571.5902520065
9,315372.9192895855,135974.52322205366
10,192379.0568037445,189473.97582658
11,254415.43821220042,177504.42339480878
12,117702.05456851891,202328.6407357944
13,166980.71307067,227825.66958719338
