Cluster,Biden Votes Weighted,Trump Votes Weighted
0,182470.8503705692,210673.01562863446
1,163722.99910057822,171813.73976625456
2,274887.89082465094,140204.96496564374
3,274542.80327961635,179078.2200979995
4,117567.34282329331,268999.7994281733
5,118909.43410610843,182011.1702992133
6,151113.08312593753,202555.71679625724
7,223223.3460218564,196498.87063705022
8,122143.05512369999,231889.26523657926
9,219525.1131523207,192484.31912762191
10,168553.53833491885,166131.09803893432
11,148638.20505808922,230202.0741216849
12,220418.87001201324,209917.11215284397
13,298575.46866634727,176313.63370310917
