Cluster,Biden Votes Weighted,Trump Votes Weighted
0,221671.41531669075,195500.7778385296
1,253020.86324564464,184801.80868148
2,117303.90121968946,267610.42974180455
3,153423.85256005634,212344.29410987612
4,137174.71615762485,194210.47662682502
5,146160.57900837075,229316.52720492458
6,263469.52681909816,144158.88218430855
7,255073.51738430536,156676.14319013382
8,175196.4808865253,175058.5504272594
9,182151.6834035915,209950.9861222166
10,121544.50668417236,230786.3113106343
11,273940.7588532763,178892.8502186261
12,220354.5300869493,208534.6869834472
13,163805.6683740046,170930.27535993396
