Cluster,Biden Votes Weighted,Trump Votes Weighted
0,249112.17240368287,190242.10434461682
1,148908.2547130978,207588.95877448702
2,153014.46008814365,159936.9695517073
3,161451.53998075624,205574.23899311066
4,185525.19783790052,185054.86035434087
5,115333.47062154266,260888.96236912257
6,239284.8390652377,179232.62742995666
7,197760.7205056211,174528.3732771773
8,319437.8420805672,136352.63587066237
9,187583.14366219463,209283.4367579394
10,181039.81216426502,207548.1480086001
11,307878.23252301384,194664.70970561766
12,119821.8278377482,252335.54037758635
13,118140.48651622825,195541.43418507464
