Cluster,Biden Votes Weighted,Trump Votes Weighted
0,141255.36645032823,218682.43776002692
1,298813.0384568946,179186.53357379814
2,276579.4440251388,139485.71342470613
3,187291.59847078595,226276.7968251764
4,155498.24591219908,227117.25478071236
5,113631.20053900432,266799.43107222195
6,118147.5028936898,182054.1260541906
7,289815.1032331976,166361.10816001933
8,182017.46266188976,209563.1795806911
9,164712.6807395142,173860.53107952402
10,219091.41574281524,192235.96371276968
11,168633.31320209452,166177.35970423554
12,152807.90247567504,203959.67493415973
13,215997.72519677258,207012.88933776785
