Cluster,Biden Votes Weighted,Trump Votes Weighted
0,209038.93539660287,183156.42386426192
1,113779.98138826386,179201.12103659796
2,182331.90992001144,210416.31210974665
3,281161.9596808725,179919.64166185353
4,268552.0292972497,179707.49047427395
5,119628.4072274499,267825.2780024341
6,190835.81899215473,220652.46692686575
7,164838.51259968744,176799.58756966758
8,124662.77714600487,257014.38618145944
9,153787.83932823685,200924.982688313
10,298167.4179324785,127210.03607045575
11,161730.51358810836,160351.52279640627
12,199977.89711622102,201523.46838254252
13,215798.00038665763,214070.28223512135
