Cluster,Biden Votes Weighted,Trump Votes Weighted
0,182178.0621764542,210011.17497025648
1,163639.9209957024,170662.27338893976
2,273841.07501386816,178200.46837600338
3,175978.38658672027,175683.59950002562
4,253114.7203482497,184783.7600885031
5,136604.17127654533,194033.15084975833
6,153559.25292735803,212430.10546217393
7,254487.47465150515,156689.583325923
8,221457.69290296274,195562.25291430068
9,146082.34967106537,228887.94002950503
10,121828.96652053774,230547.80549661446
11,117252.48195303226,267691.1846308724
12,220360.2681411452,209529.71581630493
13,263907.17683485313,144059.98515081865
