Cluster,Biden Votes Weighted,Trump Votes Weighted
0,117747.1903912706,202262.46787734778
1,320641.91802041087,137424.3043823295
2,211903.52350741276,199202.87953652182
3,154666.444713919,162103.56921956796
4,101287.6221410099,244951.06881609306
5,149753.99427556677,208896.40501095797
6,111672.58547663108,237629.30060264686
7,188216.69958520483,215061.9826195837
8,162565.10979469735,206672.76496634175
9,288233.6561267198,179058.9167553966
10,179587.26191953564,205225.4694740672
11,200478.80146232064,177906.0002432071
12,188845.79751280512,187059.5837156174
13,308691.3950724954,195318.28678032113
