Cluster,Biden Votes Weighted,Trump Votes Weighted
0,150100.14954190253,209368.3592876952
1,105437.14010747959,254363.2119890534
2,191256.55426237007,188886.09102660354
3,312434.57643397147,196242.24293541332
4,256779.99087557927,178371.77552050274
5,215870.98608279123,182913.57125004326
6,171096.2921809937,195683.03986214678
7,117381.29652549559,203690.71263453417
8,168511.17235304127,226746.15487214117
9,318200.1975329378,136723.970530546
10,178773.6759974467,211223.35130258522
11,163651.3757045396,207427.0153634456
12,154585.0620032023,161388.30941939045
13,180213.5303982485,205745.194005899
