Cluster,Biden Votes Weighted,Trump Votes Weighted
0,150105.84088825126,209375.8762774946
1,180213.5303982485,205745.194005899
2,170666.7767711046,195600.96713095874
3,313370.34375343326,196898.23629805972
4,257088.71880052544,178492.18173254115
5,215879.8408348189,182905.52299652388
6,163512.36419822965,207306.2987148893
7,154557.83218566707,161342.36133449752
8,168522.0059717303,226717.10189285324
9,191011.10315342233,188718.5743136676
10,179023.869949248,211451.81817146728
11,317683.8030520256,136398.40934153856
12,117375.39813718345,203776.308414083
13,105280.57190611122,254044.1493755262
