Cluster,Biden Votes Weighted,Trump Votes Weighted
0,298614.3068510381,178935.84777738978
1,169010.60171117395,166516.43488790543
2,216369.6262842058,207200.8411565774
3,181975.27306682884,209456.10463369088
4,289957.0025677061,166444.95410071884
5,276905.60101491166,139848.49636150614
6,152775.78211938954,203929.70485984103
7,164675.1227994267,173797.73207149186
8,219188.7822034356,192375.3178394429
9,187183.89297391454,225799.2981135367
10,117671.99181937582,181606.6652627014
11,155309.62763860237,227554.61500389612
12,113617.29440127077,266664.71244159125
13,141037.09454871982,218642.27548971013
