Cluster,Biden Votes Weighted,Trump Votes Weighted
0,220848.02262605814,209956.71498275956
1,284761.7237644767,139328.6737081868
2,163660.09134124315,172653.06556235775
3,152518.49449384084,198025.01180298283
4,150284.35830917678,229685.69132310897
5,274317.09776057926,179429.63562298808
6,224045.69949250008,196401.32823333037
7,117795.29600991077,270052.26585221896
8,127521.48815427917,180190.48621599717
9,199154.50371860107,155010.09503533266
10,182671.4206655756,211111.10952860033
11,146195.37182352404,202101.78401127388
12,318761.4245323523,180996.29481148196
13,121757.00730788171,233830.84330938046
