Cluster,Biden Votes Weighted,Trump Votes Weighted
0,277220.21236925566,139472.3147290259
1,187135.59153341554,226312.1072421143
2,216034.03631932035,206965.657903868
3,181983.92196997453,209470.82384933656
4,168891.26871599935,166402.56940778458
5,297820.15461538866,178591.35709076215
6,164624.89838236987,173762.45787090814
7,289972.40194558055,166338.04603664266
8,152879.23840612962,204041.96685483446
9,219289.24181121355,192592.78804414978
10,155627.54189299076,227361.49313655068
11,113665.34414956407,266897.5027673787
12,141290.40339910288,218724.22180151683
13,117857.7444896943,181839.69326512705
