Cluster,Biden Votes Weighted,Trump Votes Weighted
0,178745.19476955608,211146.65078106849
1,150146.36923949947,209417.8968822824
2,215954.85685965992,183216.16374511214
3,180280.02222282888,205880.70174818375
4,317577.1020585466,136372.4280237306
5,105792.76884053324,255151.67452310264
6,256486.57700244297,178233.46919519533
7,171050.7081683518,195128.04507629844
8,168483.21332609575,226672.2966553935
9,154469.98321198882,161226.61889768243
10,312856.5956324839,196481.88642447404
11,163836.33797554765,207560.89427893521
12,117339.70911962888,203422.10859962212
13,191272.5615728357,188862.16516891867
