Cluster,Biden Votes Weighted,Trump Votes Weighted
0,154315.5819717954,161613.56742625227
1,112617.31878508379,237222.51912491777
2,117683.53476286128,201485.8716933975
3,179645.167773192,205369.4350262012
4,101568.91762406424,245748.07757447343
5,188662.63728958354,187062.35380878026
6,212795.63491010186,199914.89296508193
7,308903.3959251622,195296.62155743083
8,187944.83893702502,215044.30287528667
9,149697.77511254055,208810.75540109942
10,287275.5928802865,179922.07912213032
11,162355.54261602898,206472.9236575561
12,200508.85711639962,177642.76726036385
13,320317.20429587475,137166.83250702827
