Cluster,Biden Votes Weighted,Trump Votes Weighted
0,124246.70001845423,257062.8111481169
1,114053.10462366749,179434.0469307979
2,164890.9729286461,176835.9534691412
3,280782.080092195,179358.5684768659
4,161128.91906812706,159725.57249863728
5,298903.1961044274,128151.38998102311
6,199914.53022477854,201269.94574262004
7,182121.80163790126,209972.3041732998
8,190416.7733540864,220638.16099348172
9,119571.5530959714,267308.88293174177
10,269078.48316395894,180299.24185105236
11,154038.4801878829,201334.29650240732
12,216538.01479785072,214883.66632406338
13,208607.3907020522,182498.15897675106
