Cluster,Biden Votes Weighted,Trump Votes Weighted
0,121162.6636499457,233658.3158338085
1,146715.17197646864,203038.96025920362
2,222357.06852747072,209059.49444593507
3,163656.01704373708,172518.60858334275
4,200013.94877758698,155280.83589012222
5,224653.40691111574,196103.30406419333
6,182488.66500119938,210707.74052702772
7,117771.91523951302,269354.3327207202
8,127024.6327731976,179199.3293192699
9,149021.5415533254,230185.4130756546
10,319807.43739297224,181098.72464494035
11,272982.8085997118,179845.16263367282
12,153532.8024051371,198711.00321603843
13,283103.9201486182,140011.77478607034
