Cluster,Biden Votes Weighted,Trump Votes Weighted
0,113478.56268313297,178504.23874646943
1,270383.68497897254,181746.21232790075
2,301016.0872369584,129373.1749867269
3,216147.72854848855,213476.99854787317
4,182265.64644397376,210265.85471534156
5,165181.03639023573,177182.17648827974
6,119412.24219572886,267420.2012765785
7,207331.75012174167,181899.76985452784
8,199907.84673190553,201210.26334964024
9,124898.33970840026,257206.79516541582
10,154379.86632385876,201951.84607240494
11,159488.4407704565,158251.99345376084
12,190050.71790701363,220348.6475318092
13,280350.04995913245,179934.8274832709
