Cluster,Biden Votes Weighted,Trump Votes Weighted
0,119319.28854138496,267383.3659635668
1,113887.7515733044,179051.92344751663
2,216541.35446813592,213653.29238806348
3,124777.22139798729,256726.95979363413
4,268698.3402976356,180309.0227729118
5,182305.6360861758,210340.14654772036
6,280213.66916469036,180280.1528689341
7,208865.40305402756,182515.19822689905
8,154363.71513515164,201755.27434922926
9,298880.71354291594,127863.52932498061
10,199799.71208212676,201215.10821768147
11,190281.08207543034,220496.78602334336
12,161486.71091468065,160309.23037846078
13,164871.4016663524,176873.00969705798
