Latitude,Longitude
35.9967325674488,-78.89324113638189
34.918227523222654,-78.84134226627837
35.85430140966306,-80.78271074489979
34.388770636166846,-77.95485435956002
35.28823455637586,-80.97716613691198
36.14445911038859,-79.64464864460957
35.549718395250466,-76.84182894033347
35.727855729874015,-81.59691504984364
35.301006473046925,-79.67427357448723
35.834125415954034,-77.98362302766162
36.058553511109544,-80.18826287173223
35.13172061963881,-80.67984007887178
35.77430551520809,-78.63451619421647
35.40386699912841,-82.92173407059039
