Latitude,Longitude
35.17935769534518,-80.50883221650581
35.248279205747075,-80.93978747183202
36.034934012066145,-80.18655744987724
34.38467712321822,-78.15644557707496
36.0903086324463,-78.60663668313879
35.86283964042313,-80.80739982402383
35.49731928584648,-76.74999907386933
35.70456265750432,-81.5802772674066
36.04343564334813,-79.69987066429623
35.406013041141215,-82.91461551021786
35.85164043306124,-79.02839213676428
35.58481489057574,-78.60607127988881
34.988590345761445,-79.23531032936347
35.70418428488033,-77.76681637933564
