Latitude,Longitude
36.07470009857507,-79.86381199877009
35.351889237971555,-80.25769032654958
35.69204808463027,-77.8193270838718
35.142660977237654,-80.77471782946014
35.7735263265466,-81.57497169023395
35.40468625613871,-82.91542097578905
35.6430764919268,-78.70451162233708
36.11888941120522,-80.53187832956999
34.382204060215656,-78.13408608462827
35.389687561961296,-81.00736404182639
34.98868640262877,-79.11720998165278
35.996853235445016,-79.18901499957897
35.51250377069289,-76.76597068250433
36.022715799112206,-78.5572248454414
