Latitude,Longitude
35.146176986515286,-80.8013614200903
35.74876850579933,-78.75488500371593
36.13658183749682,-80.44977787496227
35.940431756766785,-77.0426013557349
35.40428489595697,-82.91614794781812
35.05083948877046,-77.38314455374186
36.04659254469955,-79.83049181611466
35.43816247687035,-81.0098116928906
36.03917855766627,-79.12149610989252
35.867511844147515,-78.35321357803129
35.788055509226545,-81.57250842041955
35.33032781235443,-80.33412383488277
34.4243602695557,-78.31051418806318
35.0643610633081,-79.15843581074935
