Latitude,Longitude
36.006947576624604,-79.12644504662148
34.99728070706506,-79.1533714286968
36.05932185955085,-78.09237516719183
35.14327829552615,-80.79094480709728
36.12959497962316,-80.4731569609135
35.40473698560288,-82.91456050918849
35.346886002991916,-80.29515344613108
35.557882785491934,-76.79356699614269
35.31428708149527,-78.1204059977768
35.78407129027876,-81.57018167441556
36.063514657275775,-79.8302885773904
34.31075420117935,-78.10088369478338
35.772156591256625,-78.72744460959764
35.42111706650837,-81.00729475845529
